Department,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
Microbiology (MICR),MICR 4123,Virology,"The properties of macromolecules, from the structure of proteins and nucleic acids to molecular mechanisms of DNA replication and recombination, transcription, protein synthesis, and gene regulation. Gene transfer mechanisms in bacteria and their viruses. Fundamentals of recombinant DNA technology. No credit for students with credit in MICR 5123.",Undergraduate,FALSE,2019-2020,[' protein']
Microbiology (MICR),MICR 4203,Bioinformatics,"Fundamental concepts of biological sequence information and inferential techniques to assign structure, function, and evolutionary relationship among genes and proteins. No prior programming necessary, but familiarity with computers assumed. No credit for students with credit in MICR 5203.",Undergraduate,FALSE,2019-2020,[' protein']
Microbiology (MICR),MICR 4233,Advanced Cell and Molecular Biology,"Advanced topics in cell and molecular biology including regulatory mechanisms of gene expression, protein function, cell structure and organization, cell division, and development. May not be used for degree credit with MICR 5233. Course previously offered as CLML 4113.",Undergraduate,FALSE,2019-2020,[' protein']
Microbiology (MICR),MICR 4323,Biological Energy Transduction,"An exploration of the principals and mechanisms of energy transduction in plants, animals, and microbial systems. The course emphasizes electron transport and ATP production in both chemotrophic and phototrophic organisms and considers the cellular and molecular bases for these processes. May not be used for degree credit with MICR 5323.",Undergraduate,FALSE,2019-2020,[' animal']
Microbiology (MICR),MICR 5013,Microbial Physiology and Ecology,"Fundamentals of microbial physiology, ecology and genetics of microbial populations under various redox conditions. Basics of genomics and proteomics. Microbial origin and evolution. Microbial diversity and function. Population interactions, competition and ecosystem stability. Metabolic activities in natural and managed systems. Modern molecular tools in microbe identification and evolutionary phylogeny. May not be used for degree credit with MICR 4013.",Graduate,FALSE,2019-2020,[' metaboli']
Microbiology (MICR),MICR 5053,Pathogenic Microbiology,"Survey of pathogenic bacteria and the diseases they cause as they relate to humans and animals. Morphology, physiology, and pathogenic mechanisms of specific bacterial pathogens. May not be used for degree credit with MICR 4053. Course previously offered as MICR 5134.",Graduate,FALSE,2019-2020,[' animal']
Microbiology (MICR),MICR 5112,Molecular Microbiology Capstone,"Continuation of MICR 5012. Molecular characterization of prokaryotic and eukaryotic microorganisms utilizing nucleic acids, proteins, cell fractionation, cytology, and antigen-antibody reactions. No credit for students with credit in MICR 4112.",Graduate,TRUE,2019-2020,[' protein']
Microbiology (MICR),MICR 5123,Virology,"Virus-host interactions including structure-function of animal, plant, and bacterial viruses. Discussion of the molecular biology of virus infection and development. No credit for students with credit in MICR 4123.",Graduate,FALSE,2019-2020,[' animal']
Microbiology (MICR),MICR 5203,Bioinformatics,"Fundamental concepts of biological sequence information and inferential techniques to assign structure, function, and evolutionary relationship among genes and proteins. No prior programming necessary, but familiarity with computer desktop assumed. No credit for students with credit in MICR 4203. Course previously offered as CLML 5203.",Graduate,FALSE,2019-2020,[' protein']
Microbiology (MICR),MICR 5233,Advanced Cell and Molecular Biology,"Advanced topics in cell and molecular biology including regulatory mechanisms of gene expression, protein function, cell structure and organization, cell division, and development. No credit for students with credit in MICR 4233.",Graduate,FALSE,2019-2020,[' protein']
Microbiology (MICR),MICR 5273,Advanced Principles of Microbial Pathogenesis,"Advanced study of the pathogenic mechanisms used by microbial pathogens to cause disease.  Principles of pathogen and pathogen-host interactions that lead to disease pathology.

",Graduate,FALSE,2019-2020,[' pathogen ']
Microbiology (MICR),MICR 5323,Biological Energy Transduction,"An exploration of the principals and mechanisms of energy transduction in plants, animals, and microbial systems. The course emphasizes electron transport and ATP production in both chemotrophic and phototrophic organisms and considers the cellular and molecular bases for these processes. May not be used for degree credit with MICR 4323.",Graduate,FALSE,2019-2020,[' animal']
Microbiology (MICR),MICR 6223,Molecular Environmental Microbiology and Ecology,"This course focuses on fundamental and applied aspects of microbial ecology, physiology and genomics.  The course aims to highlight the value of microbes in applied disciplines such as medicine, agriculture, and biotechnology.  Recent advances in methodologies and approaches for examining the phylogenetic and metabolic diversity of microorganisms in various ecosystems, as well as tools for understanding microbial community composition and identification of rare members of microbial community will be highlighted.



",Graduate,FALSE,2019-2020,"['agri', ' metaboli']"
Military Science (MLSC),MLSC 1113,Foundations of Officership,"Lecture: Team study and activities in basic drill, physical fitness, rappelling, leadership reaction course, first aid, presentations and basic marksmanship. Fundamentals of leadership. Optional weekend exercise. Lab: Learning and practicing basic skills such as rappelling, drill and ceremony, land navigation, individual first aid, individual training in small unit tactics. Previously offered as MLSC 1112.",Undergraduate,TRUE,2019-2020,['land']
Military Science (MLSC),MLSC 1213,Basic Leadership,"Lecture: Principles of effective leading, communication skills and organizational ethical values. Optional weekend exercise. Lab: Learning and practicing basic skills such as rappelling, drill and ceremony, land navigation, individual first aid, individual training in small unit tactics. Previously offered as MLSC 1212.",Undergraduate,TRUE,2019-2020,['land']
Military Science (MLSC),MLSC 2233,Individual Leadership Studies,"Ethics-based leadership skills that develop individual abilities and contribute to the building of effective teams. Skills in oral presentation, writing, planning, coordinating groups, land navigation and basic military tactics.

",Undergraduate,TRUE,2019-2020,['land']
Multimedia Journalism (MMJ),MMJ 4253,Fundamentals of Broadcast Engineering,"An introduction to test equipment (vector scopes, waveform monitors, spectrum analyzer), FCC administrative Practices, EAS Standards, Broadcast Engineering documentations, RF and tower safety, Spectrum and frequency allocations, AF/FM/TV basic antennas structures, coupling, phasing, combining, coaxial and measurements. Microwave and STL systems, transmitters (FM/AM/TV high-low powered), fiber optics, satellite and cable TV systems. Computer networking basics (IPV4/6, topology including cloud bases systems) and digital distribution audio/video streaming (RTP, UDP, RTSP).",Undergraduate,FALSE,2019-2020,[' fiber']
Natural Resource Ecology & Management (NREM),NREM 2013,Ecology of Natural Resources,"Introductory focus on understanding and applying general ecological principles to agricultural and natural ecosystems. Emphasis on relationships between climate, soils, agricultural, and natural ecosystems. Topics include nutrient cycles, energy flow, species interactions, biological diversity, productivity, sustainability, and landscape and ecosystem management. Previously offered as RLEM 2913.",Undergraduate,FALSE,2019-2020,"['agri', 'land', ' nutri', ' soil', 'species interaction']"
Natural Resource Ecology & Management (NREM),NREM 2083,Geospatial Technologies for Natural Resources,"Principles and application of geospatial technologies for natural resource ecology and management including remote sensing (serial photography and satellite data), geographic information systems (GIS) and global positioning system (GPS) technologies. Previously offered as NREM 3083.",Undergraduate,TRUE,2019-2020,['geospatial']
Natural Resource Ecology & Management (NREM),NREM 2112,Timber Harvesting,"Theory and strategies of planning and management of timber harvesting. Harvesting techniques including felling, bucking, skidding operations, and cable yarding. Timber harvest cost analysis, safety aspects of harvesting, and principles of forest road building. Field practices in road design and surveying. Field trips to industrial timber harvesting operations.  Previously offered as NREM 2113, FOR 2113, and FOR 2002.",Undergraduate,TRUE,2019-2020,['harvest']
Natural Resource Ecology & Management (NREM),NREM 3012,Applied Ecology Laboratory,"Field experience aimed at navigating and working effectively and safely in the natural environment. Identification, measurement and interpretation of abiotic and biotic components to understand and describe ecosystem function and current natural resource management tools and issues. Focus on representative forest, grassland and aquatic ecosystems..



",Undergraduate,TRUE,2019-2020,['land']
Natural Resource Ecology & Management (NREM),NREM 3013,Applied Ecology and Conservation,"Development of critical thinking for conservation and land management through the application of ecological concepts and theory. Principles of population, community, ecosystem and landscape ecology, with applications to management of wildlife, fisheries, forest and rangeland resources. Application of scientific method and literature to natural resource ecology and management.



",Undergraduate,FALSE,2019-2020,"[' fish', 'land', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 3091,Field Applications of Geospatial Technologies for Natural Resources,"Field-based use of global navigation satellite systems, geographic information systems and topographic maps to measure and interpret the environment with application to fishery, forest, range, and wildlife planning and management.



",Undergraduate,TRUE,2019-2020,"[' fish', 'geospatial']"
Natural Resource Ecology & Management (NREM),NREM 3101,Forest Resource Field Studies,"One-week summer presession field experience at an off-campus site. Field study in the dynamics of forest ecosystems and related components including trees, soils, water, fauna, and associated flora as they relate to site productivity and the production of resource outputs, products, and services. Previously offered as NREM 3112.",Undergraduate,TRUE,2019-2020,"[' productivity ', ' soil']"
Natural Resource Ecology & Management (NREM),NREM 3111,Natural Resource Field Studies,"One-week summer presession field experience at off-campus site. Field study, analysis, and assessment of natural resource ecosystems at multiple scales with application to integrated management of forest, wildlife, range, water, soil, and recreation resources to sustain a broad array of uses and values, and to understand associated ecological, social, policy, and ethical issues. Includes visits to private and public natural resource lands and projects. Previously offered as FOR 3103 and NREM 3103.",Undergraduate,TRUE,2019-2020,"['land', ' soil']"
Natural Resource Ecology & Management (NREM),NREM 3123,Forest Measurements I,"Measurement of trees, forests, and forest products. Application of mensurational techniques to forest growth and productivity. Methods of forest sampling and inventory. Use of topographic maps, U.S. Public Land Survey system maps, global navigation satellite systems and mapping software. Previously offered as NREM 2103.",Undergraduate,TRUE,2019-2020,['land']
Natural Resource Ecology & Management (NREM),NREM 3224,Silviculture,"Theory and practice of controlling forest establishment, composition, structure, and growth to achieve multiple objectives including timber production, wildlife habitat, water quality, forest health, and recreation. Principles and techniques related to regeneration, thinning, prescribed fire, and harvest methods to increase the productivity, resilience, and output of desired ecosystem services. A two-day field trip is required. Previously offered as NREM 3223.",Undergraduate,TRUE,2019-2020,['harvest']
Natural Resource Ecology & Management (NREM),NREM 3523,Fish and Wildlife Population Biology,"Dynamics of fish and wildlife populations resulting from reproduction, competition, predation, movement, and exploitation. Effects of life history patterns on population growth and management strategies. Methods for measuring distribution, abundance, survival, and growth of fish and wildlife populations. Management strategies for fish and wildlife populations.



",Undergraduate,FALSE,2019-2020,[' fish']
Natural Resource Ecology & Management (NREM),NREM 3613,Principles of Rangeland Management,"Overview of the science of applying ecological principles to managing rangeland resources, including rangeland characteristics; goods and services provided by rangelands; primary threats to rangelands; North American rangeland resources; principles of grazing management and current topics in range management. Previously offered as RLEM 3913.",Undergraduate,FALSE,2019-2020,"['land', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 4013,Herbaceous Plants of the Great Plains,"Identification (by sight and dichotomous key), characteristics (vegetative and floral), ecological/agricultural importance, and management of important native range grasses and broadleaf plant families, genera, and species, with emphasis on rangeland management applications. May not be used for degree credit with NREM 5013.",Undergraduate,TRUE,2019-2020,"['agri', ' herb', ' herba', 'land', 'range grasses', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 4093,"Natural Resources, People and Sustainable Development (I)","Relationship between people, the land, and associated natural resources in the developing world, including the ecological and cultural basis for resource use and development. Examines issues of traditional agriculture and deforestation, and explores sustainable strategies for land use, resource management, and community development. Includes two-week study abroad component. Previously offered as NREM 4393.",Undergraduate,FALSE,2019-2020,"['agri', 'land']"
Natural Resource Ecology & Management (NREM),NREM 4234,Forest Management and Economics,Regulation of forest growing stock to meet financial and biological management objectives; stand level optimization; linear programming principles in harvest scheduling; timberland taxation; timberland investment criteria; risk and uncertainty in timberland investment; economics of non-market goods. Previously offered as NREM 4323.,"Graduate, Undergraduate",TRUE,2019-2020,"['harvest', 'land']"
Natural Resource Ecology & Management (NREM),NREM 4403,Wetland Ecology and Management,"Ecology, classification, restoration, and management of wetlands. Adaptations of wetland plants and animals, structure and function of wetlands, field identification of wetland plants, restoration techniques, wetland classification systems, management and conservation of wetlands, and regulatory processes. Previously offered as COSC 4403 and ZOOL 4403.",Undergraduate,TRUE,2019-2020,"[' animal', 'land']"
Natural Resource Ecology & Management (NREM),NREM 4414,Fisheries Management,"Techniques and principles involved in management of fishes. Field trip fee required. Previously offered as COSC 4414, ZOOL 4414, and ZOOL 4524.","Graduate, Undergraduate",TRUE,2019-2020,[' fish']
Natural Resource Ecology & Management (NREM),NREM 4424,Fisheries Techniques,"Research techniques and methodology in fisheries science, including sampling design, habitat measurements, sampling gears and abundance estimation, age and growth analysis, recreational surveys, data analysis, and report writing. No credit for students with credit in NREM 5424. Previously offered as COSC 4424.",Undergraduate,TRUE,2019-2020,[' fish']
Natural Resource Ecology & Management (NREM),NREM 4443,Watershed Hydrology and Water Quality,"Processes that comprise the hydrologic cycle and how land use affects those processes and the quantity and quality of water from watersheds, focusing on surface water from forest, range and agricultural watersheds. Measurement and evaluation of water quantity and quality. Additional flat fee of $22.00 applies. Previously offered as NREM 4413 and FOR 4813.",Undergraduate,TRUE,2019-2020,"['agri', 'hydrologic cycle', 'land']"
Natural Resource Ecology & Management (NREM),NREM 4452,Pond Management,"Principles and practice of aquatic plant management, pond construction, and maintenance, fish population management, and human factors associated with pond ownership and management. No credit for students with credit in NREM 5452.",Undergraduate,FALSE,2019-2020,[' fish']
Natural Resource Ecology & Management (NREM),NREM 4453,Aquaculture,Introduction to the principles of freshwater finfish production with an emphasis on warm water species. No credit for student having completed NREM 5453.,Undergraduate,FALSE,2019-2020,[' aquaculture']
Natural Resource Ecology & Management (NREM),NREM 4543,Wildlife Management for Biodiversity,"Identification, life history, and conservation management issues affecting non-game species in North America, stressing rare, threatened, and endangered species occurring in Oklahoma. Principles of landscape ecology, wildlife management, and conservation biology applied to management scenarios aimed at recovery of rare species and biodiversity conservation at broad scales. Previously offered as COSC 4543 and ZOOL 4543.",Undergraduate,FALSE,2019-2020,['land']
Natural Resource Ecology & Management (NREM),NREM 4603,Rangeland and Pasture Utilization,Investigation of livestock and forage interactions that impact productivity in the utilization of rangeland and improved pastures. Same course as ANSI 4203. May not be used for degree credit with NREM 5603.,Undergraduate,TRUE,2019-2020,"['forage', 'land', ' livestock ', ' pasture', ' productivity ', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 4613,Rangeland Resources Planning,"Inventory of ranch resources, survey and evaluation of ranch practices, and economic analysis. Development of a comprehensive ranch management plan. Managing rangeland and ranch resources in a social context. Written and oral reports. Field trips required. Same course as ANSI 4973. Previously offered as RLEM 4973 and AGRN 4973.",Undergraduate,FALSE,2019-2020,"['land', ' ranch', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 4741,Wildland Firefighter Training,"Training for Type 2 (FFT2) wildland firefighting positions with US government agencies. Provides qualifications to participate in prescribed fire and other wildland fire operations Including: ignition, control, mop-up, suppression, and monitoring.",Undergraduate,FALSE,2019-2020,['land']
Natural Resource Ecology & Management (NREM),NREM 4783,Prescribed Fire,"When to use prescribed fire and how to use prescribed fire to accomplish specific land management objectives. Writing prescribed fire plans, policy and laws, weather, equipment, conducting burns, and post-burn mop-up. Previously offered as RLEM 4983.",Undergraduate,FALSE,2019-2020,['land']
Natural Resource Ecology & Management (NREM),NREM 5013,Herbaceous Plants of the Great Plains,"Identification (by sight and dichotomous key), characteristics (vegetative and floral), ecological/agricultural importance, and management of important native range grasses and broadleaf plant families, genera, and species. May not be used for degree credit with NREM 4013.",Graduate,TRUE,2019-2020,"['agri', ' herb', ' herba', 'range grasses']"
Natural Resource Ecology & Management (NREM),NREM 5043,Ecology and Evolution of Symbiosis,"Ecology and evolution of symbiotic and mutualistic interactions in different ecosystems. Theory, current questions, and general patterns involving biotic interactions of plants and animals with other plants, animals, or microbes.

",Graduate,FALSE,2019-2020,[' animal']
Natural Resource Ecology & Management (NREM),NREM 5053,Global Ecology and Biogeochemistry,"Examines key nutrient pools and transformations in the atmosphere, soils, and hydrosphere, with an emphasis on the role of living organisms in nutrient transformations and fluxes. Emphasis placed on processes relevant to biogeochemical cycles at ecosystem and global scales in reference to aspects of global change.

",Graduate,FALSE,2019-2020,"[' nutri', ' soil']"
Natural Resource Ecology & Management (NREM),NREM 5063,Production Ecology,"Mechanisms driving the growth and productivity of terrestrial ecosystems in response to resource availability, genetics, disturbance, and climate. Factors affecting the distribution and productivity of biomes, relationship between leaf area and productivity, effects of diversity on productivity, the proximal causes of increased growth associated with resource additions, and using process models to predict growth. Previously offered as NREM 4103.",Graduate,FALSE,2019-2020,[' productivity ']
Natural Resource Ecology & Management (NREM),NREM 5083,Applied Landscape Ecology,"Advanced ecology and management of grasslands, shrublands, and forests. Understanding the effects of grazing, fire and other disturbances on biotic and abiotic processes. Vegetation dynamics, wildlife habitat evaluation, woody plant encroachment, rangeland monitoring, and landscape ecology. Field trips required at additional cost to students. Previously offered as NREM 5054.",Graduate,FALSE,2019-2020,"['land', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 5193,Spatial and Non-Spatial Database Management,"Methods of acquiring, managing and analyzing spatial data using geographic information systems. Management of non-spatial data using relational database managers. Development of applications using these tools for evaluating and managing natural resources. Previously offered as SOIL 5193.",Graduate,FALSE,2019-2020,[' soil']
Natural Resource Ecology & Management (NREM),NREM 5424,Fisheries Techniques,"Research techniques and methodology in fisheries science, including sampling design, habitat measurements, sampling gears and abundance estimation, age and growth analysis, recreational surveys, data analysis and report writing. No credit for students with credit in NREM 4424. Previously offered as COSC 5424.",Graduate,TRUE,2019-2020,[' fish']
Natural Resource Ecology & Management (NREM),NREM 5430,Special Topics in Fisheries,"Advanced study on special topics in fisheries. Offered for variable credit, 1-3 credit hours, maximum of 9 credit hours.",Graduate,FALSE,2019-2020,[' fish']
Natural Resource Ecology & Management (NREM),NREM 5433,Fisheries Science,"Principles of fisheries science as they relate to fish and aquatic biota, their habitats, and the humans who utilize them. Previously offered as COSC 5433.",Graduate,FALSE,2019-2020,[' fish']
Natural Resource Ecology & Management (NREM),NREM 5443,Watershed Hydrology and Water Quality,"Processes that comprise the hydrologic cycle and how land use affects those processes and the quantity and quality of water from watersheds, focusing on surface water from forest, range and agricultural watersheds. Measurement and evaluation of water quantity and quality. Intended for graduate students new to the water resources field. No credit for students having completed NREM 4443.",Graduate,TRUE,2019-2020,"['agri', 'hydrologic cycle', 'land']"
Natural Resource Ecology & Management (NREM),NREM 5452,Pond Management,"Principles and practice of aquatic plant management, pond construction and maintenance, fish population management, and human factors associated with pond ownership and management. No credit for students with degree credit in NREM 4452.",Graduate,FALSE,2019-2020,[' fish']
Natural Resource Ecology & Management (NREM),NREM 5453,Aquaculture,Introduction to the principles of freshwater finfish production with an emphasis on warm water species. No credit for student having completed NREM 4453.,Graduate,FALSE,2019-2020,[' aquaculture']
Natural Resource Ecology & Management (NREM),NREM 5483,Ecohydrology,"Concepts, framework and challenges in ecohydrology. Soil water control on vegetation structure, function and distribution. Vegetation feedback on water budget in water limited ecosystems. Ecological and hydrological interaction associated with land use, land cover change and climate variability.



",Graduate,FALSE,2019-2020,"['land', ' soil']"
Natural Resource Ecology & Management (NREM),NREM 5523,Population Ecology,"Theory and principles of predicting and analyzing population abundance and dynamics. Life history theory, foraging theory, habitat selection, population genetics, and species interactions. Same course as BIOL 5523.",Graduate,TRUE,2019-2020,['species interaction']
Natural Resource Ecology & Management (NREM),NREM 5583,Wetland Wildlife Ecology,"Ecology and management of wetland dependent wildlife species with an emphasis on the autecology, adaptations for inhabiting wetland systems, and management problems associated with these taxa. Previously offered as COSC 5583.",Graduate,FALSE,2019-2020,"[' autecolog', 'land']"
Natural Resource Ecology & Management (NREM),NREM 5603,Rangeland and Pasture Utilization,Investigation of lifestock and forage interactions that impact productivity in the utilization of rangeland and improved pastures. May not be used for degree credit with ANSI 4203 or NREM 4603.,Graduate,TRUE,2019-2020,"['forage', 'land', ' pasture', ' productivity ', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 5630,Special Topics in Rangeland Science,"Advanced study on special topics in rangeland science. Previously offered as NREM 5660. Offered for variable credit, 1-3 credit hours, maximum of 9 hours.",Graduate,FALSE,2019-2020,"['land', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 5673,Rangeland Resources Watershed Management,"Management of anthropogenic activities and physical/biological functions or processes on water and rangeland watersheds. Emphasizes preventative and restorative strategies in a natural resource rangeland setting. Course available online only through distance education.

",Graduate,FALSE,2019-2020,"[' anthropogenic ', 'land', ' rangeland']"
Natural Resource Ecology & Management (NREM),NREM 5682,Grassld Plant Identification,"Study and identification of plants that have ecological and/or agricultural importance in the Great Plains. Grassland ecosystems and plant characteristics including forage value, palatability, and utilization by both domestic livestock and wildlife. Cultural and historical uses of grassland. Course available online only through distance education.



",Graduate,FALSE,2019-2020,"['agri', 'forage', 'land', ' livestock ', ' palatab']"
Natural Resource Ecology & Management (NREM),NREM 5683,Grazing Ecology and Management,"Ecological principles of livestock grazing and applications to grazing land management for production and conservation.

",Graduate,FALSE,2019-2020,"['land', ' livestock ']"
Natural Resource Ecology & Management (NREM),NREM 5692,Grassland Monitoring and Assessment.,"Vegetation sampling theory and plot selection. Quantitative measures used in vegetation analysis, root growth, and utilization. Use of the similarity index, and plant community health and trends for grassland monitoring and assessment. Course available online only through distance education.

",Graduate,FALSE,2019-2020,"['land', ' root ']"
Natural Resource Ecology & Management (NREM),NREM 5693,Principles of Forage Quality and Evaluation to Ruminate,"Chemical characteristics of forage components and the laboratory procedures used to evaluate forages for grazing livestock. Interactions with ruminant physiology and digestion that influence forage feeding value. Students should have a strong background in the basic principles of chemistry, ruminant nutrition, and plant physiology. Course available online only through distance education.



",Graduate,FALSE,2019-2020,"['digestion', ' feeding ', 'forage', ' nutri', ' rumina']"
Natural Resource Ecology & Management (NREM),NREM 5713,Grassland Fire Ecology,"Ecological effects of fire on grassland ecosystems. Examination of the history of fire, societal use of fire, fire behavior in relation to fuel and weather, and conducting and safety of prescribed burns. Course available online only through distance education.

",Graduate,FALSE,2019-2020,['land']
Natural Resource Ecology & Management (NREM),NREM 5723,Ecol Fire Dependent Ecosystems,"Role of fire and the interactions with land use, weather, and climate change in fire-dependent ecosystems. Responses of species composition, diversity, annual net primary productivity, nutrient cycling, and ecosystem management in diverse ecosystems.



",Graduate,FALSE,2019-2020,"['land', ' nutri']"
Natural Resource Ecology & Management (NREM),NREM 5783,Prescribed Fire,"When to use prescribed fire and how to use prescribed fire to accomplish specific land management objectives. Writing prescribed fire plans, policy and laws, weather, equipment, conducting burns, and post-burn mop-up. Field trips required. Previously offered as RLEM 5983.",Graduate,FALSE,2019-2020,['land']
Nursing (NURS),NURS 3118,Adult Health Nursing I,"Provides concept based nursing theory for holistic care of adult clients with health alterations. Includes physical and mental wellness, diagnostic and therapeutic nursing interventions, emphasizing the nursing process and critical thinking to manage acute and chronic health alterations. Provides opportunities to practice nursing skills in simulated and actual medial surgical and mental health clinical settings.



",Undergraduate,TRUE,2019-2020,[' adult health ']
Nursing (NURS),NURS 4116,Adult Health Nursing II,"Provides concept-based nursing theory for holistic care of adult clients with critical health alterations. Clinical focuses on providing high acuity nursing care in critical care clinical settings. 



",Undergraduate,TRUE,2019-2020,[' adult health ']
Nutritional Sciences (NSCI),NSCI 2111,Professional Careers in Nutritional Sciences,Career opportunities in health professions. Roles and responsibilities of health care professionals. Routes to professional memberships and current issues in professionalism. Previously offered as FNIA 2111.,Undergraduate,FALSE,2019-2020,[' nutri']
Nutritional Sciences (NSCI),NSCI 2112,"Foods of the African Diaspora: Chronology, Evolution and Impact","An exploration of the evolution of African American foodways and their physical health impacts within the historical contexts of slavery, emancipation, cultural development, religion, and traditional health beliefs.

",Undergraduate,FALSE,2019-2020,['food']
Nutritional Sciences (NSCI),NSCI 2114,Principles of Human Nutrition (N),Functions of the nutrients in human life processes. Nutrient relationship to health as a basis for food choices. Open to all University students. Previously offered as NSCI 2123 and FNIA 1113.,Undergraduate,FALSE,2019-2020,"['food', ' nutri']"
Nutritional Sciences (NSCI),NSCI 2211,Professional Careers in Dietetics,"Career opportunities in Dietetics. Roles and responsibilities of Dietitians. Routes to professional memberships and current issues in professionalism.



",Undergraduate,FALSE,2019-2020,[' diet']
Nutritional Sciences (NSCI),NSCI 2311,Introduction to Public Health Nutrition,"Overview of Public Health Nutrition with an emphasis on how biological, social, economic, and political factors affect nutrition and health status of populations.",Undergraduate,FALSE,2019-2020,[' nutri']
Nutritional Sciences (NSCI),NSCI 2412,Introduction to Nutrition & Food Literacy,"Application of nutrition education principles and public health approaches for planning, purchasing, preparing and preserving healthy affordable foods to improve health outcomes. 



",Undergraduate,FALSE,2019-2020,"['food', ' nutri']"
Nutritional Sciences (NSCI),NSCI 2850,Special Topics in Nutritional Sciences,"Study of specific consumer education issues or topics in nutritional sciences.



Offered for variable credit, 1-3 credit hours, maximum of 4 credit hours.",Undergraduate,FALSE,2019-2020,[' nutri']
Nutritional Sciences (NSCI),NSCI 3011,Nutrition and Evidence-based Practice I,"Understanding basic research designs and methodologies, ethics in research, and the use of research in the development of evidence-based recommendations for healthy individuals, applying statistics, and interpreting data in nutrition research.



",Undergraduate,FALSE,2019-2020,[' nutri']
Nutritional Sciences (NSCI),NSCI 3021,Nutrition and Evidence-based Practice II,Understanding research focused on pathophysiology of chronic disease and the role of nutrition in the prevention and treatment of these diseases. Course builds on an understanding of physiology and of nutrition research from BIOL 3204 and NSCI 3011. Ethics in research.,Undergraduate,FALSE,2019-2020,[' nutri']
Nutritional Sciences (NSCI),NSCI 3133,Science of Food Preparation,"Scientific principles underlying functions of food ingredients, recipe/menu modification, diet management for disease states and food safety.

",Undergraduate,TRUE,2019-2020,"[' diet', 'food', ' recipe']"
Nutritional Sciences (NSCI),NSCI 3223,Nutrition Across the Life Span,Nutritional needs and dietary concerns of individuals from conception through old age. Previously offered as NSCI 4223 and FNIA 4223.,Undergraduate,FALSE,2019-2020,"[' diet', ' nutri']"
Nutritional Sciences (NSCI),NSCI 3440,Nutritional Sciences Pre-Professional Experience,"Student-arranged, instructor-approved, job shadowing, work or volunteer experience in professional settings related to the Nutritional Sciences option. Forty hours of experience required per credit hour.



Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours.",Undergraduate,FALSE,2019-2020,[' nutri']
Nutritional Sciences (NSCI),NSCI 3543,Food and the Human Environment (IS),"Impact of the various factors that affect food availability, production, processing, distribution and consumption of food in the world. International cultures and foods. Challenges of and solutions to the world food crisis. Previously offered as FNIA 3543.",Undergraduate,FALSE,2019-2020,['food']
Nutritional Sciences (NSCI),NSCI 3733,Environmental Nutrition,"Evidence-based examination of agricultural production, food systems, and sustainability on food, nutritional quality, and societal health, from harvest to health.



",Undergraduate,FALSE,2019-2020,"['agri', 'food', 'harvest', ' nutri']"
Nutritional Sciences (NSCI),NSCI 3813,Nutrition Assessment and Counseling Skills,"Theory and practice of counseling and interviewing skills as applied to nutrition counseling. Collection and interpretation of anthropometric, biochemical and dietary data necessary to determine nutritional status. Previously offered as NSCI 3812.",Undergraduate,TRUE,2019-2020,"[' diet', ' nutri']"
Nutritional Sciences (NSCI),NSCI 4021,Nutrition and Evidence-based Practice III,In-depth study of major controversial issues in the field of nutrition. Course builds on understanding of nutrition research from NSCI 3011 and 3021. Review and analysis of current research. Ethics in research.,Undergraduate,FALSE,2019-2020,[' nutri']
Nutritional Sciences (NSCI),NSCI 4023,Nutrition in the Pathophysiology of Chronic Disease,"Analysis of the role of dietary bioactive components in health maintenance and chronic disease prevention. Communication of evidence-based nutrition information to the public.

",Undergraduate,FALSE,2019-2020,"[' diet', ' nutri']"
Nutritional Sciences (NSCI),NSCI 4111,Professional Preparation for Careers in Dietetics,"Preparation of supervised practice applications and supporting documents. Options for professional credentials, graduate school, and careers. Professional issues in dietetics.



",Undergraduate,FALSE,2019-2020,[' diet']
Nutritional Sciences (NSCI),NSCI 4123,Human Nutrition and Metabolism I,"Examine the chemical characteristics and functions of macronutrients; digestion, absorption, transport and metabolism of macronutrients; control of intermediary metabolism and metabolic pathways. No credit for students with degree credit in NSCI 5303.",Undergraduate,FALSE,2019-2020,"['digestion', ' macronutrient', ' metaboli', ' nutri']"
Nutritional Sciences (NSCI),NSCI 4133,Nutrition for Exercise and Sport,"Application of principles of nutrient metabolism as they relate to physical activity, sport and health. Strongly recommend a background including NSCI 4123 and BIOC 3653.",Undergraduate,FALSE,2019-2020,"[' metaboli', ' nutri']"
Nutritional Sciences (NSCI),NSCI 4143,Human Nutrition and Metabolism II,"Chemical characteristics, absorption, transport, functions, requirements and health implications of vitamins and minerals. Discussion of phytochemicals and supplements in relation to health maintenance and disease prevention. No credit for students with degree credit in NSCI 5353.",Undergraduate,FALSE,2019-2020,"[' metaboli', ' nutri', ' phytochemical', ' vitamin']"
